2019-06-22 09:49:11,"b""RT @KarachiKingsARY: It's a Must Win match for \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0 #TeamPakistan tomorrow against \xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 #TeamSouthAfrica in the Biggest Cricketing Tournament #\xe2\x80\xa6"""
2019-06-22 09:49:09,"b""@CrickPoint #MatchUpdate #FirstSession\n\n#IND lost it's first wicket as Rohit Sharma @ImRo45 .\n\n#IND - 7/1 after 4.2\xe2\x80\xa6 https://t.co/o0aTCPQCrd"""
2019-06-22 09:46:57,"b""RT @TopsSocial: Can you guess who will be the Tops batsman in today's #IndvsAfg match?\n#WorldCupKaChaska #WorldCup2019 #ICC #ICCWorldCup #I\xe2\x80\xa6"""
2019-06-22 09:46:23,"b""RT @TopsSocial: Can you guess who will be the Tops batsman in today's #IndvsAfg match?\n#WorldCupKaChaska #WorldCup2019 #ICC #ICCWorldCup #I\xe2\x80\xa6"""
2019-06-22 09:42:20,b'RT @CrickPoint: Start tweeting your questions on #INDvAFG to our Cricket Expert Gaurav.\n@Imgdhiman \n\n#ICC #CWC19 #CrickPoint #CricketExpert\xe2\x80\xa6'
2019-06-22 09:41:07,b'RT @twtthelotus: The Ultimate Cricket Fan begins now!\n\nComment down below and win exciting prizes! \n\n#TheLotus #UltimateCricketFan \n\n#Conte\xe2\x80\xa6'
2019-06-22 09:41:01,b'What do you think is going to win the match?\n\n#APChicken #AP #FreshChicken #EasynQuick #Natural #Healthy #PAKvsSA\xe2\x80\xa6 https://t.co/PtFWLsXXZw'
2019-06-22 09:40:31,b'RT @twtthelotus: Question 3 is here The Ultimate Cricket Fan is here!\n\nParticipate and win!\n\n#TheLotus #UltimateCricketFan\n\n#Contest #Conte\xe2\x80\xa6'
2019-06-22 09:40:06,b'When you have personal issues with betswoman \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\n#ICC #WomenCricket https://t.co/ioqUG03IxA'
2019-06-22 09:39:03,b'RT @twtthelotus: Question 5!\n\nAn iconic moment that every Indian remembers\n\n#TheLotus #UltimateCricketFan\n\n#Contest #ContestAlert #icc #cri\xe2\x80\xa6'
2019-06-22 09:38:44,b'RT @cricketeersnz: Great article from the talented @summeryael about the impact cricket is having on women! Great to see more opportunities\xe2\x80\xa6'
2019-06-22 09:38:10,b'@iReliefServices ODI #29\nWI VS NZ\nWinner will be NZ\n#PredictCWC19Winner #ICC #CricketWorldCup #CWC2019\xe2\x80\xa6 https://t.co/iaQIwJX6aa'
2019-06-22 09:37:44,"b""RT @TopsSocial: Can you guess who will be the Tops batsman in today's #IndvsAfg match?\n#WorldCupKaChaska #WorldCup2019 #ICC #ICCWorldCup #I\xe2\x80\xa6"""
2019-06-22 09:36:57,b'FOR WORLD CUP BETTING TIPS VISIT https://t.co/lts5YrZC1N LINK IN BIO\n.\nIND VS AFG 28TH MATCH- Cricket Betting Tips\xe2\x80\xa6 https://t.co/jsVZ8VUZhK'
2019-06-22 09:36:25,b'FOR WORLD CUP BETTING TIPS VISIT https://t.co/lts5YrZC1N LINK IN BIO\n.\nENG VS SL 27TH MATCH- Cricket Betting Tips\n.\xe2\x80\xa6 https://t.co/if6oLZKZrN'
2019-06-22 09:35:43,b'Well done again #ICC \nHalf the stadium is empty because your pathetic site didn\xe2\x80\x99t allow anyone to buy tickets #ICCWorldCup2019'
2019-06-22 09:35:20,b'RT @CrickPoint: We are couple of hours away from #INDvAFG match @cricketworldcup !!\n\nTake a moment to TWEET wishing #TeamIndia to put a gre\xe2\x80\xa6'
2019-06-22 09:34:09,"b'#INDvAFG #IndvAfg #TeamIndia #BCCI #ICC  #CWC19 #MenInBlue \xf0\x9f\x92\x99 Ind VS Afgh., 28th ODI- Southampton, Ind batting first\xe2\x80\xa6 https://t.co/7lCWumxh9q'"
2019-06-22 09:34:06,b'RT @umpk95: Success Is Not Permanent \nFailure is Not Final\nGreat Person Learn From Mistake \nYou Are Still Our Captain @SarfarazA_54\n\n#icc #\xe2\x80\xa6'
2019-06-22 09:34:01,"b'@Squashedhedgi The fact is that many exist in isolation with the profoundly ill being bedbound, tubefed, catheteriz\xe2\x80\xa6 https://t.co/MK8RVKwF82'"
2019-06-22 09:33:44,b'Sri Lanka changed how 50 over cricket was played back in 1996!! Are they doing it again by taking it back to defend\xe2\x80\xa6 https://t.co/DhzxAAPRbx'
2019-06-22 09:32:53,"b""RT @TopsSocial: Can you guess who will be the Tops batsman in today's #IndvsAfg match?\n#WorldCupKaChaska #WorldCup2019 #ICC #ICCWorldCup #I\xe2\x80\xa6"""
2019-06-22 09:30:24,b'Join us for the #Cricket today - showing on all screens \xf0\x9f\x8f\x8f\xf0\x9f\x8f\x8f\xf0\x9f\x8f\x8f\n\nWest Indies v New Zealand - match starts 1.30PM \xf0\x9f\x8f\x86 #icc\xe2\x80\xa6 https://t.co/UbZA3QJMaZ'
2019-06-22 09:29:03,"b""RT @TopsSocial: Can you guess who will be the Tops batsman in today's #IndvsAfg match?\n#WorldCupKaChaska #WorldCup2019 #ICC #ICCWorldCup #I\xe2\x80\xa6"""
2019-06-22 09:28:54,b'Can ICC explain this ???\n#ICC \n#BCCI https://t.co/QFBLsQU5Y5'
2019-06-22 09:28:52,"b""#Sydney Good Food &amp; Wine Show 21-23rd Jun '19 #darlingharbour #Gourmet #foodandwine #ICC #Asian #spice"""
2019-06-22 09:28:16,"b'#cricket #icc #crickets Live Cricket Steaming app https://t.co/gXAAiXccMB There are yorkers, and then there are Las\xe2\x80\xa6 https://t.co/E81NEzAjTp'"
2019-06-22 09:28:03,b'First we have learn to respect ourselves then we aspects from other as a pakistani i feel very angry on this fan he\xe2\x80\xa6 https://t.co/5pcJUWJicC'
2019-06-22 09:27:44,"b""Our final session at the #ICC scholars' forum is on crimes and accountability \xe2\x80\x93 new crimes and elements of crimes (\xe2\x80\xa6 https://t.co/itvVO4a9TV"""
2019-06-22 09:25:34,b'#Dream11\n#fantasy\n#Cricket\n#ICCCricketWorldCup2019\n#INDvAFG\n#Dream11Team\n#Dream11expert\n#ICC\n#FantasyCricket\xe2\x80\xa6 https://t.co/IGlObBHLAc'
2019-06-22 09:25:23,b'Two minutes silence for whoever believed the rumours that #TeamIndia will wear Orange jerseys against\xe2\x80\xa6 https://t.co/2lQmLutuda'
2019-06-22 09:23:49,b'@OptakTv #giveaway #contestalert #win #voucher #rahuldravid #sachinTendulkar #sauravganguly #teamindia\xe2\x80\xa6 https://t.co/bMEKGHv1Bz'
2019-06-22 09:23:26,b'RT @OptakTv: Contest alert 3! Comment down the answer and get a chance to win Rs.1000/- voucher. \n#OPTAKLEDTV\n#INDIAMAANGEWORLDCUP\n\nVisit N\xe2\x80\xa6'
2019-06-22 09:23:21,"b""RT @TopsSocial: Can you guess who will be the Tops batsman in today's #IndvsAfg match?\n#WorldCupKaChaska #WorldCup2019 #ICC #ICCWorldCup #I\xe2\x80\xa6"""
2019-06-22 09:23:10,b'Success Is Not Permanent \nFailure is Not Final\nGreat Person Learn From Mistake \nYou Are Still Our Captain\xe2\x80\xa6 https://t.co/SfYexcALZA'
2019-06-22 09:21:23,b'@iReliefServices ODI #28\n INDvs AFG\nWinner will be : INDIA \n@iReliefServices\n#ICC #CricketWorldCup #iReliefContest\xe2\x80\xa6 https://t.co/2wAHaqsds7'
2019-06-22 09:21:04,b'Live India vs Afghanistan World Cup 2019  \n\n@BCCI @ACBofficials @cricketworldcup  @icc @SouticC @Joy_Reporter\xe2\x80\xa6 https://t.co/bBPHPs3DwK'
2019-06-22 09:20:59,b'RT @applancer_com: Indian National Cricket Team as of 2019\n\nhttps://t.co/6tlLeojjtq\n\n#cricket #cricbuzz #icc https://t.co/Fb49TNnYfu'
2019-06-22 09:20:14,b'RT @itzmesowju: @iReliefServices ODI #27\nENG vs SL\nWinner Will Be: Srilanka\n\n#PredictCWC19Winner #ICC #CricketWorldCup #CWC19 #iReliefConte\xe2\x80\xa6'
2019-06-22 09:19:52,b'Grab  #Hoppits while enjoying the match with your cricket buddies and charge yourself with the daily dose of goodne\xe2\x80\xa6 https://t.co/cmWO55IF3y'
2019-06-22 09:19:48,"b""RT @TopsSocial: Can you guess who will be the Tops batsman in today's #IndvsAfg match?\n#WorldCupKaChaska #WorldCup2019 #ICC #ICCWorldCup #I\xe2\x80\xa6"""
2019-06-22 09:17:55,b'Find Live Score of ICC World Cup 2019 Men INDIA V/s Afghanistan @Webtafri\n#worldcup2019 #livescore #ICC #IND #AFG\xe2\x80\xa6 https://t.co/opzG5n8uat'
2019-06-22 09:17:34,"b""Hurry up, it's time to assemble your DREAM squad!\n\nPLAY Yahoo Daily Fantasy:\nhttps://t.co/mNc30Jeux6\n\n#ICC #CWC2019\xe2\x80\xa6 https://t.co/7zhdsbWc53"""
2019-06-22 09:15:36,b'@iReliefServices ODI #29\nWI VS NZ\nWinner will be New Zealand\n\n#ContestAlert #ICC #CricketWorldCup #iReliefContest\xe2\x80\xa6 https://t.co/V3Fikm0NGE'
2019-06-22 09:14:53,b'@iReliefServices ODI #29\nIND VS AFG\nWinner: INDIA\n\n#ContestAlert #ICC #CricketWorldCup #iReliefContest\n\nJoin\xe2\x80\xa6 https://t.co/HBmV3jRggC'
2019-06-22 09:14:26,"b'@iReliefServices ODI #28,\nIND VS AFG,\nWinner will be: IND.\n\n#PredictCWC19Winner #ICC #CricketWorldCup\xe2\x80\xa6 https://t.co/vpTCb7GFIx'"
2019-06-22 09:14:01,b'RT @iReliefServices: #ContestAlert #PredictCWC19Winner\n\nThe fantastic #ICC #CricketWorldCup is back &amp; #iRelief is here to amplify your ?? f\xe2\x80\xa6'
2019-06-22 09:13:32,b'RT @iReliefServices: #ContestAlert #PredictCWC19Winner\n\nThe fantastic #ICC #CricketWorldCup is back &amp; #iRelief is here to amplify your ?? f\xe2\x80\xa6'
2019-06-22 09:13:20,b'Wow cons fuuuuuun\n\n#GLOBECONQUEST\n#ICC'
2019-06-22 09:10:02,b'RT @saveyraIndia: \xf0\x9f\x99\x87Will the #Cricket Gods be in our favour today?\xf0\x9f\x98\x81 Cheer for the Men in Blue with #Saveyra Cricket #Stickers.\xf0\x9f\x8f\x8f Download and\xe2\x80\xa6'
2019-06-22 09:10:02,b'A glass of freshly #carbonated beverage for a perfect weekend #match. \n\n#ICC #WorldCup2019 #India #CWC2019\xe2\x80\xa6 https://t.co/ORwdIwm491'
